,house,district,census_tract,country,date,hh_size,migrant_num,wealth_index,remit,lat,long,lat_regrid,long_regrid,intensity,magnitude,duration,frequency,severity,dispersion,area,NDVI_mean,SVI_severity
18,19,kiambu,sigona/nyathuwa,kenya,11/8/2009,4,2,1.268953163,1.0,-1.213613261,36.66018801,-1.2,36.65,-1.6657076478004456,-1.707313895225525,1.8333333333333333,0.8,-3.1515795985857644,-0.29999999999999993,309899937.8916723,0.2436836131442984,0.23396200216063165
19,20,kiambu,sigona/nyathuwa,kenya,11/8/2009,1,2,-0.897196212,0.0,-1.213613261,36.66018801,-1.2,36.65,-1.6657076478004456,-1.707313895225525,1.8333333333333333,0.8,-3.1515795985857644,-0.29999999999999993,309899937.8916723,0.2436836131442984,0.23396200216063165
20,21,kiambu,mbwa kali,kenya,11/8/2009,5,0,0.045733475,,-1.170804963,36.83215946,-1.15,36.85,-1.725689858198166,-1.7882348597049713,2.25,0.6,-3.9089466631412506,0.06666666666666665,413029382.9447616,0.22856255272502962,-0.8916113182117079
21,22,kiambu,mbwa kali,kenya,11/7/2009,3,0,1.459239706,,-1.170804963,36.83215946,-1.15,36.85,-1.725689858198166,-1.7882348597049713,2.25,0.6,-3.9089466631412506,0.06666666666666665,413029382.9447616,0.22856255272502962,-0.8916113182117079
22,23,kiambu,guthunguri,kenya,11/8/2009,2,2,-1.897507885,1.0,-1.058419348,36.77391802,-1.05,36.75,-1.7090195218722026,-1.7469932238260906,1.8333333333333333,0.8,-3.1817588210105896,-0.29999999999999993,309899937.8916723,0.24960287899731454,0.9345258778053145
23,24,kiambu,mbwa kali,kenya,11/6/2009,7,1,-3.077477775,1.0,-1.170804963,36.83215946,-1.15,36.85,-1.725689858198166,-1.7882348597049713,2.25,0.6,-3.9089466631412506,0.06666666666666665,413029382.9447616,0.22856255272502962,-0.8916113182117079
24,25,kiambu,sigona/nyathuwa,kenya,11/8/2009,7,2,0.169822963,0.0,-1.213613261,36.66018801,-1.2,36.65,-1.6657076478004456,-1.707313895225525,1.8333333333333333,0.8,-3.1515795985857644,-0.29999999999999993,309899937.8916723,0.2436836131442984,0.23396200216063165
25,26,kiambu,sigona/nyathuwa,kenya,11/8/2009,2,2,-2.445297464,0.0,-1.213613261,36.66018801,-1.2,36.65,-1.6657076478004456,-1.707313895225525,1.8333333333333333,0.8,-3.1515795985857644,-0.29999999999999993,309899937.8916723,0.2436836131442984,0.23396200216063165
26,27,kisii,kerera,kenya,11/5/2009,6,1,0.101642939,1.0,-0.754425695,34.82872552,-0.75,34.85,-1.5968827903270721,-1.6692858636379242,2.25,0.8,-3.845115154981613,-0.8,198846275.59763497,0.2176646620599989,-0.07095430164525252
27,28,kisii,irianyi,kenya,11/5/2009,5,1,3.093204555,1.0,-0.662238252,34.85472107,-0.65,34.85,-1.666750192642212,-1.7113603949546814,1.75,0.8,-3.1180976033210754,-0.7999999999999999,235461747.48176438,0.20952260109076443,0.41224182983684593
