,house,district,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long,lat_regrid,long_regrid,intensity,magnitude,duration,frequency,severity,dispersion,area,NDVI_mean,SVI_severity
109,112,ntungamo,cell 5,uganda,1,0,3.161241913,,0.33094,31.08708,0.35,31.1,-1.720076337,-1.787798524,1.75,1.2,-3.120292068,-0.533333333,262944628.8983548,0.24453602632665258,-0.76819708
110,113,ntungamo,cell 5,uganda,4,0,3.239541047,,0.33094,31.08708,0.35,31.1,-1.720076337,-1.787798524,1.75,1.2,-3.120292068,-0.533333333,262944628.8983548,0.24453602632665258,-0.76819708
111,114,ntungamo,cell 5,uganda,1,0,3.161241913,,0.33094,31.08708,0.35,31.1,-1.720076337,-1.787798524,1.75,1.2,-3.120292068,-0.533333333,262944628.8983548,0.24453602632665258,-0.76819708
112,115,ntungamo,cell 5,uganda,1,0,3.204158285,,0.33094,31.08708,0.35,31.1,-1.720076337,-1.787798524,1.75,1.2,-3.120292068,-0.533333333,262944628.8983548,0.24453602632665258,-0.76819708
113,116,ntungamo,cell 5,uganda,4,0,3.905583117,,0.33094,31.08708,0.35,31.1,-1.720076337,-1.787798524,1.75,1.2,-3.120292068,-0.533333333,262944628.8983548,0.24453602632665258,-0.76819708
114,117,ntungamo,cell 5,uganda,3,1,1.890655076,0,0.33094,31.08708,0.35,31.1,-1.720076337,-1.787798524,1.75,1.2,-3.120292068,-0.533333333,262944628.8983548,0.24453602632665258,-0.76819708
115,118,ntungamo,cell 5,uganda,5,1,0.152089531,1,0.33094,31.08708,0.35,31.1,-1.720076337,-1.787798524,1.75,1.2,-3.120292068,-0.533333333,262944628.8983548,0.24453602632665258,-0.76819708
116,119,ntungamo,cell 5,uganda,5,0,1.601913589,,0.33094,31.08708,0.35,31.1,-1.720076337,-1.787798524,1.75,1.2,-3.120292068,-0.533333333,262944628.8983548,0.24453602632665258,-0.76819708
117,120,ntungamo,cell 5,uganda,9,1,0.297879792,1,0.33094,31.08708,0.35,31.1,-1.720076337,-1.787798524,1.75,1.2,-3.120292068,-0.533333333,262944628.8983548,0.24453602632665258,-0.76819708
118,121,ibanda,jubilee street,uganda,3,0,-0.002061614,,-0.1321,30.4953,-0.15,30.5,-1.825700899,-1.998406688,2,0.8,-3.791098515,-0.3,240271131.10428944,0.22619234347509204,-0.938844868
119,122,ibanda,jubilee street,uganda,4,0,3.075409169,,-0.1321,30.4953,-0.15,30.5,-1.825700899,-1.998406688,2,0.8,-3.791098515,-0.3,240271131.10428944,0.22619234347509204,-0.938844868
120,124,ibanda,jubilee street,uganda,4,0,0.815231287,,-0.1321,30.4953,-0.15,30.5,-1.825700899,-1.998406688,2,0.8,-3.791098515,-0.3,240271131.10428944,0.22619234347509204,-0.938844868
121,125,ibanda,jubilee street,uganda,4,0,3.534114425,,-0.1321,30.4953,-0.15,30.5,-1.825700899,-1.998406688,2,0.8,-3.791098515,-0.3,240271131.10428944,0.22619234347509204,-0.938844868
122,126,ibanda,jubilee street,uganda,1,0,0.908656107,,-0.1321,30.4953,-0.15,30.5,-1.825700899,-1.998406688,2,0.8,-3.791098515,-0.3,240271131.10428944,0.22619234347509204,-0.938844868
