,house,date,district,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long,lat_SPEI,long_SPEI,pop_cent_lat,pop_cent_long,intensity,magnitude,duration,frequency,severity,dispersion,area,NDVI_mean,SVI_severity
83,85,2/22/2010,masaka,maida,uganda,6,2,1.290668193,1,-0.3857,31.3233,-0.4,31.3,-0.399080159,31.31153159,-1.738421544,-1.832413912,2.75,1,-5.047783852,-0.6,439172677.78852403,0.22278446458264606,-1.508942417
84,86,2/20/2010,masaka,maida,uganda,7,0,0.454857831,,-0.3857,31.3233,-0.4,31.3,-0.399080159,31.31153159,-1.738421544,-1.832413912,2.75,1,-5.047783852,-0.6,439172677.78852403,0.22278446458264606,-1.508942417
85,87,2/22/2010,masaka,maida,uganda,3,2,-0.381728829,1,-0.3857,31.3233,-0.4,31.3,-0.399080159,31.31153159,-1.738421544,-1.832413912,2.75,1,-5.047783852,-0.6,439172677.78852403,0.22278446458264606,-1.508942417
86,88,2/22/2010,masaka,maida,uganda,6,3,1.777191288,1,-0.3857,31.3233,-0.4,31.3,-0.399080159,31.31153159,-1.738421544,-1.832413912,2.75,1,-5.047783852,-0.6,439172677.78852403,0.22278446458264606,-1.508942417
87,89,2/22/2010,masaka,maida,uganda,6,4,1.97746769,0,-0.3857,31.3233,-0.4,31.3,-0.399080159,31.31153159,-1.738421544,-1.832413912,2.75,1,-5.047783852,-0.6,439172677.78852403,0.22278446458264606,-1.508942417
88,90,2/22/2010,masaka,maida,uganda,10,3,1.179085626,1,-0.3857,31.3233,-0.4,31.3,-0.399080159,31.31153159,-1.738421544,-1.832413912,2.75,1,-5.047783852,-0.6,439172677.78852403,0.22278446458264606,-1.508942417
89,91,2/21/2010,kampala,zone iv c,uganda,1,1,4.16308135,1,0.323160174,32.55801405,0.3,32.55,0.322981339,32.52700846,-1.691265434,-1.798860788,2.5,1,-4.409049734,-0.6,422208559.9125568,0.25546881562277934,-1.703055256
90,92,2/21/2010,kampala,zone iv c,uganda,1,1,1.901859362,0,0.323160174,32.55801405,0.3,32.55,0.322981339,32.52700846,-1.691265434,-1.798860788,2.5,1,-4.409049734,-0.6,422208559.9125568,0.25546881562277934,-1.703055256
91,93,2/21/2010,kampala,zone iv c,uganda,4,1,2.792508908,0,0.323160174,32.55801405,0.3,32.55,0.322981339,32.52700846,-1.691265434,-1.798860788,2.5,1,-4.409049734,-0.6,422208559.9125568,0.25546881562277934,-1.703055256
92,94,2/21/2010,kampala,zone iv c,uganda,2,0,3.56272534,,0.323160174,32.55801405,0.3,32.55,0.322981339,32.52700846,-1.691265434,-1.798860788,2.5,1,-4.409049734,-0.6,422208559.9125568,0.25546881562277934,-1.703055256
